case_id,title,case_number,authority,decision_date,scenarios,amount,advertising_related_fine,source_url,raw_text_path,candidate_path
zj_gap_331003022026060003,台州市众知文化传媒有限公司广告中含有虚假内容案,台黄市监处罚〔2026〕278号,台州市黄岩区市场监督管理局,2026-09-16,s08_data_citation,21000.0,21000.0,https://xzcf.zjzwfw.gov.cn/punishment/#/punishdetails?guid=331003022026060003&unid=331003022026060003,data/raw_text/zj_xzcf/gap_20260917/detail/331003022026060003.json,data/structured_candidates/zj_gap_331003022026060003.json
zj_gap_330226052026070003,宁海县张艳保健养生馆（个体工商户）广告中含有虚假内容案,宁市监处罚〔2026〕555号,宁海县市场监督管理局,2026-09-15,s03_platform_rules,4500.0,1500.0,https://xzcf.zjzwfw.gov.cn/punishment/#/punishdetails?guid=330226052026070003&unid=330226052026070003,data/raw_text/zj_xzcf/gap_20260917/detail/330226052026070003.json,data/structured_candidates/zj_gap_330226052026070003.json
zj_gap_330304032026070002,翁某某虚假宣传（不正当竞争行为）案,温瓯市监处罚〔2026〕626号,温州市瓯海区市场监督管理局,2026-09-15,s03_platform_rules,600.0,600.0,https://xzcf.zjzwfw.gov.cn/punishment/#/punishdetails?guid=330304032026070002&unid=330304032026070002,data/raw_text/zj_xzcf/gap_20260917/detail/330304032026070002.json,data/structured_candidates/zj_gap_330304032026070002.json
zj_gap_330183072026050001,许锐对商品作引人误解的虚假宣传案,杭富市监处罚〔2026〕314号,杭州市富阳区市场监督管理局,2026-09-11,s03_platform_rules;s08_data_citation,30000.0,,https://xzcf.zjzwfw.gov.cn/punishment/#/punishdetails?guid=330183072026050001&unid=330183072026050001,data/raw_text/zj_xzcf/gap_20260917/detail/330183072026050001.json,data/structured_candidates/zj_gap_330183072026050001.json
zj_gap_330282062026040003,慈溪圣甬口腔门诊部有限公司未经广告审查机关审查发布医疗广告和发布虚假广告的行为案,慈市监处罚〔2026〕1001号,慈溪市市场监督管理局,2026-08-06,s03_platform_rules,60000.0,20000.0,https://xzcf.zjzwfw.gov.cn/punishment/#/punishdetails?guid=330282062026040003&unid=330282062026040003,data/raw_text/zj_xzcf/gap_20260917/detail/330282062026040003.json,data/structured_candidates/zj_gap_330282062026040003.json
zj_gap_331004082026050004,梁仙聪违反《中华人民共和国广告法》第三十八条第二款规定，利用不满十周岁的未成年人作为广告代言人或违反《中华人民共和国广告法》第三十八条第三款规定，利用自然人、法人或者其他组织作为广告代言人行为案,台路市监处罚〔2026〕322号,台州市路桥区市场监督管理局,2026-07-23,s03_platform_rules,1600.0,1600.0,https://xzcf.zjzwfw.gov.cn/punishment/#/punishdetails?guid=331004082026050004&unid=331004082026050004,data/raw_text/zj_xzcf/gap_20260917/detail/331004082026050004.json,data/structured_candidates/zj_gap_331004082026050004.json
zj_gap_330482222026010002,平湖市庄医森养生馆发布虚假广告案,平市监处罚〔2026〕368号,平湖市市场监督管理局,2026-07-22,s03_platform_rules,280000.0,280000.0,https://xzcf.zjzwfw.gov.cn/punishment/#/punishdetails?guid=330482222026010002&unid=330482222026010002,data/raw_text/zj_xzcf/gap_20260917/detail/330482222026010002.json,data/structured_candidates/zj_gap_330482222026010002.json
zj_gap_330402132026030002,嘉兴温故知新网络科技有限公司发布违法广告案,嘉南市监处罚〔2026〕510号,嘉兴市南湖区市场监督管理局,2026-06-22,s04_endorsement,2040.0,2040.0,https://xzcf.zjzwfw.gov.cn/punishment/#/punishdetails?guid=330402132026030002&unid=330402132026030002,data/raw_text/zj_xzcf/gap_20260917/detail/330402132026030002.json,data/structured_candidates/zj_gap_330402132026030002.json
zj_gap_330782082026030020,义乌市蜻心品牌运营管理有限公司违反促销行为规定案,义市监处罚〔2026〕1469号,义乌市市场监督管理局,2026-05-13,s06_gift_promotion,3000.0,,https://xzcf.zjzwfw.gov.cn/punishment/#/punishdetails?guid=330782082026030020&unid=330782082026030020,data/raw_text/zj_xzcf/gap_20260917/detail/330782082026030020.json,data/structured_candidates/zj_gap_330782082026030020.json
zj_gap_330784052025120001,周某某发布违法广告案,永市监处罚〔2026〕139号,永康市市场监督管理局,2026-02-10,s03_platform_rules,5000.0,5000.0,https://xzcf.zjzwfw.gov.cn/punishment/#/punishdetails?guid=330784052025120001&unid=330784052025120001,data/raw_text/zj_xzcf/gap_20260917/detail/330784052025120001.json,data/structured_candidates/zj_gap_330784052025120001.json
zj_gap_330727122025090003,磐安县卓翔五金工具厂开展限时减价、折价等价格促销活动未显著标明期限案,磐市监处罚〔2025〕214号,磐安县市场监督管理局,2025-10-29,s06_gift_promotion,1500.0,,https://xzcf.zjzwfw.gov.cn/punishment/#/punishdetails?guid=330727122025090003&unid=330727122025090003,data/raw_text/zj_xzcf/gap_20260917/detail/330727122025090003.json,data/structured_candidates/zj_gap_330727122025090003.json
zj_gap_331081012025050011,温岭全程眼视光门诊部有限公司违反《中华人民共和国广告法》第三十九条规定，在中小学校、幼儿园内或者利用与中小学生、幼儿有关的物品发布广告行为案,温市监处罚〔2025〕937号,温岭市市场监督管理局,2025-08-04,s01_minor_protection,41710.0,1710.0,https://xzcf.zjzwfw.gov.cn/punishment/#/punishdetails?guid=331081012025050011&unid=331081012025050011,data/raw_text/zj_xzcf/gap_20260917/detail/331081012025050011.json,data/structured_candidates/zj_gap_331081012025050011.json
zj_gap_330824062025050003,浙江健一行医药零售连锁有限公司马金药店发布赠送药品广告案,开市监处罚〔2025〕182号,开化县市场监督管理局,2025-06-30,s06_gift_promotion,502.5,502.5,https://xzcf.zjzwfw.gov.cn/punishment/#/punishdetails?guid=330824062025050003&unid=330824062025050003,data/raw_text/zj_xzcf/gap_20260917/detail/330824062025050003.json,data/structured_candidates/zj_gap_330824062025050003.json
zj_gap_330102292024070002,徐某某广告代言人在医疗、药品、医疗器械广告中作推荐、证明行为案,杭上市监处罚〔2024〕505号,杭州市上城区市场监督管理局,2024-08-29,s04_endorsement,9000.0,9000.0,https://xzcf.zjzwfw.gov.cn/punishment/#/punishdetails?guid=330102292024070002&unid=330102292024070002,data/raw_text/zj_xzcf/gap_20260917/detail/330102292024070002.json,data/structured_candidates/zj_gap_330102292024070002.json
zj_gap_330000132024050001,廖某某广告代言人在医疗广告中作推荐、证明行为案,浙市监处罚〔2024〕8号,省市场监管局（省知识产权局）,2024-07-20,s04_endorsement,90000.0,90000.0,https://xzcf.zjzwfw.gov.cn/punishment/#/punishdetails?guid=330000132024050001&unid=330000132024050001,data/raw_text/zj_xzcf/gap_20260917/detail/330000132024050001.json,data/structured_candidates/zj_gap_330000132024050001.json
